,src,dst,id,importance,explainer,edge_btw
462,3,35,2,0,0,0.001586462
418,34,0,2,0,0.7579645,0
419,49,0,2,0,0.73793936,0
423,7,26,2,0,0,0
425,1,36,2,0,0,0
436,44,11,2,0,0,0
446,37,39,2,0,0,0
447,50,39,2,0,0,0
448,24,39,2,0,0,0
449,14,39,2,0,0,0
450,3,39,2,0,0,0
464,53,30,2,0,0,0
466,6,51,2,0,0,0
468,40,48,2,0,0,0
502,0,31,3,2,0.67637473,0.013650014
469,0,30,3,2,0.6701592,0.013650014
535,0,15,3,2,0.6530832,0.013650014
568,0,22,3,2,0.6112248,0.013650014
482,8,30,3,1,0.15823703,0
514,28,31,3,2,0.15593417,0.013650014
544,26,15,3,2,0.15505102,0.013650014
515,8,31,3,1,0.15079764,0.013650014
538,35,15,3,2,0.14879033,0.013650014
548,8,15,3,1,0.14814419,0.013650014
565,24,15,3,2,0.14724502,0.013650014
499,24,30,3,2,0.14636068,0
545,1,15,3,2,0.14527512,0.013650014
588,10,22,3,2,0.14385861,0.013650014
493,17,30,3,2,0.14274485,0
580,28,22,3,2,0.14044677,0.013650014
532,24,31,3,2,0.14006348,0.013650014
504,23,31,3,1,0.14001027,0.013650014
587,3,22,3,2,0.13951308,0.013650014
490,18,30,3,2,0.13933642,0
578,1,22,3,2,0.13915232,0.013650014
547,28,15,3,2,0.13893385,0.013650014
555,10,15,3,2,0.1387613,0.013650014
510,32,31,3,2,0.13811815,0.013650014
523,18,31,3,2,0.13737144,0.013650014
549,13,15,3,2,0.13735609,0.013650014
581,8,22,3,1,0.13563344,0.013650014
511,26,31,3,2,0.13497333,0.013650014
474,4,30,3,2,0.13450608,0
472,35,30,3,2,0.13401163,0
478,26,30,3,2,0.13349256,0
492,21,30,3,2,0.13331258,0
558,21,15,3,2,0.13316225,0.013650014
575,19,22,3,2,0.13304621,0.013650014
497,29,30,3,2,0.13226156,0
521,3,31,3,2,0.13199309,0.013650014
541,5,15,3,2,0.1312214,0.013650014
475,5,30,3,2,0.13073544,0
484,34,30,3,2,0.13068147,0
599,16,22,3,2,0.13020514,0.013650014
570,23,22,3,1,0.12937398,0.013650014
471,23,30,3,1,0.12908961,0
536,2,15,3,2,0.12879692,0.013650014
487,14,30,3,2,0.12864889,0
569,2,22,3,2,0.12794665,0.013650014
480,27,30,3,2,0.1271252,0
524,11,31,3,2,0.12704822,0.013650014
501,36,30,3,2,0.12659015,0
483,13,30,3,2,0.12504679,0
571,35,22,3,2,0.12456237,0.013650014
470,2,30,3,2,0.12424952,0
481,28,30,3,2,0.124060765,0
537,23,15,3,1,0.12403692,0.013650014
592,17,22,3,2,0.12397856,0.013650014
522,10,31,3,2,0.123845086,0.013650014
598,24,22,3,2,0.12381655,0.013650014
566,16,15,3,2,0.12260041,0.013650014
488,3,30,3,2,0.12249568,0
528,12,31,3,2,0.122382246,0.013650014
513,27,31,3,2,0.12234527,0.013650014
586,14,22,3,2,0.122299016,0.013650014
473,33,30,3,2,0.122272424,0
507,4,31,3,2,0.122106284,0.013650014
550,34,15,3,2,0.12196477,0.013650014
491,11,30,3,2,0.121806994,0
567,36,15,3,2,0.121094316,0.013650014
486,9,30,3,2,0.12093736,0
518,25,31,3,2,0.12077608,0.013650014
582,13,22,3,2,0.120626904,0.013650014
596,29,22,3,2,0.12039487,0.013650014
500,16,30,3,2,0.120379,0
554,3,15,3,2,0.12035951,0.013650014
594,12,22,3,2,0.12003362,0.013650014
495,12,30,3,2,0.11994721,0
505,35,31,3,2,0.11965926,0.013650014
525,21,31,3,2,0.119332895,0.013650014
597,7,22,3,2,0.11920646,0.013650014
519,9,31,3,2,0.118451454,0.013650014
477,32,30,3,2,0.118097164,0
556,18,15,3,2,0.11806517,0.013650014
543,32,15,3,2,0.11801069,0.013650014
531,7,31,3,2,0.11759681,0.013650014
561,12,15,3,2,0.11740332,0.013650014
546,27,15,3,2,0.117349565,0.013650014
572,33,22,3,2,0.11731799,0.013650014
508,5,31,3,2,0.11704562,0.013650014
583,34,22,3,2,0.11697833,0.013650014
530,29,31,3,2,0.11673426,0.013650014
573,4,22,3,2,0.11642881,0.013650014
574,5,22,3,2,0.11631865,0.013650014
579,27,22,3,2,0.116216615,0.013650014
557,11,15,3,2,0.11503507,0.013650014
503,2,31,3,2,0.11478217,0.013650014
564,7,15,3,2,0.11401903,0.013650014
506,33,31,3,2,0.113716185,0.013650014
489,10,30,3,2,0.11364714,0
553,14,15,3,2,0.11317482,0.013650014
542,19,15,3,2,0.112858795,0.013650014
509,19,31,3,2,0.11252215,0.013650014
498,7,30,3,2,0.112425424,0
562,6,15,3,2,0.11225106,0.013650014
485,25,30,3,2,0.11201593,0
517,34,31,3,2,0.11173812,0.013650014
533,16,31,3,2,0.11160868,0.013650014
577,26,22,3,2,0.11090991,0.013650014
563,29,15,3,2,0.11087391,0.013650014
516,13,31,3,2,0.11079437,0.013650014
589,18,22,3,2,0.11078044,0.013650014
512,1,31,3,2,0.11054179,0.013650014
559,17,15,3,2,0.11049266,0.013650014
527,20,31,3,2,0.11044508,0.013650014
590,11,22,3,2,0.10957258,0.013650014
539,33,15,3,2,0.10894898,0.013650014
496,6,30,3,2,0.10848962,0
584,25,22,3,2,0.108411,0.013650014
520,14,31,3,2,0.10745629,0.013650014
591,21,22,3,2,0.10710105,0.013650014
494,20,30,3,2,0.10710053,0
534,36,31,3,2,0.10670127,0.013650014
526,17,31,3,2,0.105966404,0.013650014
593,20,22,3,2,0.1052003,0.013650014
479,1,30,3,2,0.10504283,0
540,4,15,3,2,0.10484823,0.013650014
576,32,22,3,2,0.10458069,0.013650014
552,9,15,3,2,0.104026005,0.013650014
560,20,15,3,2,0.1033681,0.013650014
551,25,15,3,2,0.10302532,0.013650014
585,9,22,3,2,0.10149641,0.013650014
529,6,31,3,2,0.10092415,0.013650014
595,6,22,3,2,0.09873035,0.013650014
600,36,22,3,2,0.096785024,0.013650014
476,19,30,3,2,0.09495481,0
645,57,3,4,2,0.112638295,0.033227569
644,5,3,4,2,0.10752882,0.033227569
643,28,3,4,2,0.09742461,0.033227569
634,44,3,4,1,0.115334645,0.033227569
646,47,3,4,1,0.106206916,0.033227569
635,2,3,4,1,0.10584596,0.033227569
636,46,3,4,1,0.1009992,0.033227569
633,26,3,4,1,0.097048335,0.033227569
703,10,27,4,0,0.14583321,0.013661202
706,59,39,4,0,0.13099313,0.013661202
705,10,39,4,0,0.12828368,0.013661202
704,59,27,4,0,0.123807535,0.013661202
678,32,0,4,0,0.8268817,0.013617134
679,11,0,4,0,0.8103058,0.013617134
682,32,48,4,0,0.26438066,0.013617134
683,11,48,4,0,0.25399247,0.013617134
680,32,17,4,0,0.21828017,0.013617134
681,11,17,4,0,0.20878704,0.013617134
688,40,1,4,0,0.12112587,0.013617134
690,40,15,4,0,0.12097174,0.013617134
689,12,1,4,0,0.119248405,0.013617134
693,12,20,4,0,0.117292166,0.013617134
691,12,15,4,0,0.11478496,0.013617134
692,40,20,4,0,0.11417521,0.013617134
697,43,25,4,0,0.11866439,0.009254363
694,43,33,4,0,0.113779984,0.009254363
702,58,36,4,0,0.113579705,0.009254363
701,53,36,4,0,0.11035297,0.009254363
695,53,33,4,0,0.1095757,0.009254363
698,53,25,4,0,0.108366184,0.009254363
696,58,33,4,0,0.10441666,0.009254363
700,43,36,4,0,0.103855446,0.009254363
699,58,25,4,0,0.09479937,0.009254363
685,5,45,4,2,0.12924008,0.00713908
684,28,45,4,2,0.12634507,0.00713908
686,57,45,4,2,0.115661114,0.00713908
687,47,45,4,1,0.10921423,0.00713908
675,13,56,4,0,0.13022104,0.00713908
670,23,24,4,0,0.13013858,0.00713908
669,55,54,4,0,0.1255144,0.00713908
673,55,24,4,0,0.120542794,0.00713908
671,13,24,4,0,0.11928028,0.00713908
676,34,56,4,0,0.116562374,0.00713908
666,23,54,4,0,0.1145267,0.00713908
668,34,54,4,0,0.11388477,0.00713908
674,23,56,4,0,0.113159515,0.00713908
677,55,56,4,0,0.11223477,0.00713908
667,13,54,4,0,0.1118206,0.00713908
613,26,61,4,0,0.10991938,0.00713908
672,34,24,4,0,0.109128304,0.00713908
629,28,60,4,2,0.121187665,0.004869558
631,57,60,4,2,0.117599584,0.004869558
630,5,60,4,2,0.110108696,0.004869558
620,46,21,4,1,0.12600777,0.004869558
632,47,60,4,1,0.123474695,0.004869558
617,26,21,4,1,0.12324592,0.004869558
627,2,60,4,1,0.1223985,0.004869558
619,2,21,4,1,0.122181624,0.004869558
625,26,60,4,1,0.11368489,0.004869558
626,44,60,4,1,0.10772749,0.004869558
628,46,60,4,1,0.101407394,0.004869558
